Participant,Age,Gender,Localizer_Trials,Localizer_Trials_Percent,Sequence_Presentations,Sequence_Presentations_Percent
1,7.0,f,238.0,0.44074074074074077,28.0,0.28
2,7.0,m,289.0,0.5351851851851852,14.0,0.14
3,9.0,f,423.0,0.7833333333333333,87.0,0.87
4,7.0,f,391.0,0.7240740740740741,57.0,0.57
5,7.0,f,156.0,0.28888888888888886,99.0,0.99
6,9.0,m,390.0,0.7222222222222222,94.0,0.94
7,7.0,m,308.0,0.5703703703703704,64.0,0.64
8,9.0,m,379.0,0.7018518518518518,62.0,0.62
9,9.0,m,256.0,0.4740740740740741,87.0,0.87
10,8.0,f,246.0,0.45555555555555555,20.0,0.2
11,9.0,f,70.0,0.12962962962962962,28.0,0.28
12,9.0,m,241.0,0.4462962962962963,48.0,0.48
13,7.0,f,84.0,0.15555555555555556,11.0,0.11
14,6.0,m,224.0,0.4148148148148148,17.0,0.17
15,9.0,f,171.0,0.31666666666666665,19.0,0.19
16,7.0,m,306.0,0.5666666666666667,23.0,0.23
17,7.0,m,149.0,0.2759259259259259,12.0,0.12
18,6.0,m,182.0,0.337037037037037,14.0,0.14
19,8.0,f,357.0,0.6611111111111111,47.0,0.47
20,7.0,f,104.0,0.1925925925925926,18.0,0.18
21,8.0,m,251.0,0.4648148148148148,1.0,0.01
22,7.0,f,133.0,0.2462962962962963,5.0,0.05
